filename,Artistic Categories,Total aesthetic score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood,Language Comment,classicism,floral and avian,freehand,landscapes,meticulous,mountains and water,oil painting,portraiture,romanticism,sketching,still life,symbolism,traditional Chinese painting,Total Score,Avg Score,generated_filename,Description
d30e5b8536544cec8704b1f7694938aa.jpg,"sketching, romanticism, portraiture",55.114803314208984,5.987048149108887,5.7360124588012695,5.6613054275512695,5.62185001373291,,5.018337249755859,4.540928363800049,3.8380610942840576,4.932820796966553,5.654980659484863,"The overall meaning to be expressed in the picture can be seen, but the picture is incomplete, only superficial, and the rhythm is rough.",0,0,0,0,0,0,0,1,1,1,0,0,0,15.57,1.73,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_0.jpg,"This image is a pencil sketch of a bottle. The drawing is done with various lines and shading techniques, giving it a textured and dynamic appearance. The bottle is depicted with multiple intersecting lines, creating a sense of depth and movement. The background consists of a series of diagonal lines that add to the overall complexity of the drawing."
a515b053f9a04bea8cd3339fe54caaee.jpg,"sketching, romanticism, portraiture",48.89655113220215,4.674520969390869,4.91347599029541,4.381905555725098,4.823245048522949,,4.481801509857178,5.255785942077637,4.4480085372924805,4.094187259674072,4.139563083648682,"The creative feeling is innovative, but other expressions and relationship handling are not expressed,",0,0,0,0,0,0,0,1,1,1,0,0,0,15.999999999999998,1.7777777777777777,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_1.jpg,"This image is a pencil sketch of a person. The drawing appears to be a portrait, showing the person's head and upper shoulders. The person has long hair tied back, and the sketch captures details such as the ear, neck, and part of the shoulder. The style of the drawing is realistic, with shading and lines used to create depth and texture."
29d8a1f961e04979a4e87e5eeee32b36.jpg,"sketching, romanticism, landscapes",50.069518089294434,5.418522357940674,5.24119234085083,5.183844566345215,5.021977424621582,,4.238274097442627,5.259866237640381,4.156986236572266,5.012877941131592,4.873103141784668,The lack of balance in composition makes the picture appear chaotic and disorganized. The lack of clear black and white contrast leads to a lack of visual focus in the image. The lines are rough and lack delicacy.,0,0,0,1,0,0,0,0,1,1,0,0,0,16.33,1.8144444444444443,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_2.jpg,"This image is a pencil sketch of a small, rustic building with a sloped roof. The structure appears to be made of wood and has a simple, utilitarian design. There are various objects around the building, including what looks like a large barrel or container, a smaller box-like object, and some other items that are not clearly defined. The scene has a somewhat rural or countryside feel to it."
f43d05bf8e8f4063a1c52a7c98a15495.png,"traditional Chinese painting, freehand, portraiture",46.474905014038086,5.562951564788818,5.426697731018066,5.222670555114746,5.922080993652344,,5.0306172370910645,4.598391056060791,4.27669095993042,4.882524013519287,4.81212043762207,,0,0,1,0,0,0,0,1,0,0,0,0,1,13.16,1.4622222222222223,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_3.jpg,"The image is a black and white sketch of a person wearing a hard hat with a headlamp. The headlamp is prominently displayed on the front of the hard hat. The person appears to be wearing a jacket or coat, and the sketch style is somewhat abstract and expressive."
290f4fb6a759480eb5bfba2767b89bdc.jpg,"sketching, romanticism, landscapes",41.83746337890625,4.687863826751709,4.73843240737915,4.427229881286621,4.878658294677734,,4.47569465637207,4.893598556518555,3.173408031463623,4.575082302093506,4.233402252197266,The lack of balance in composition makes the picture appear chaotic and disorganized. The lack of clear black and white contrast leads to a lack of visual focus in the image. The lines are rough and lack delicacy.,0,0,0,1,0,0,0,0,1,1,0,0,0,16.67,1.8522222222222224,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_4.jpg,"This image is a pencil drawing of a serene landscape. It features a large sun or moon in the sky, surrounded by a few birds flying. Below, there is a body of water, possibly a lake or sea, with gentle waves. In the foreground, there are some grasses and reeds, adding to the natural setting. The overall mood of the drawing is calm and peaceful."
d6307758b70b4f85858b32a534192192.png,"traditional Chinese painting, freehand, floral and avian",56.486830711364746,6.3107805252075195,5.704268932342529,5.163082122802734,5.205662727355957,,5.342446327209473,5.868275165557861,5.067173957824707,5.982605934143066,5.616749286651611,,0,1,1,0,0,0,0,0,0,0,0,0,1,15.0,1.6666666666666667,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_5.jpg,"The image appears to be a piece of abstract art. It features several circular shapes in shades of purple and blue, with some areas of the shapes appearing to be translucent. There are also some dark, brush-like strokes that seem to be part of the composition. In the top right corner, there is a red stamp with Chinese characters."
b10349db956e487f86bf130be7ab3369.png,"traditional Chinese painting, freehand, floral and avian",54.47262763977051,5.796028137207031,5.596329212188721,5.481698036193848,5.323551654815674,,5.175607681274414,5.417402267456055,4.851419448852539,5.936001300811768,5.415416717529297,,0,1,1,0,0,0,0,0,0,0,0,0,1,21.17,2.352222222222222,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_6.jpg,"The image is a piece of traditional Chinese calligraphy and painting. It features a curved branch with red flowers and small red berries. The branch is painted in black and white, with the flowers and berries in vibrant red. There are Chinese characters written on the image. The characters on the right side are ""梅花"" (plum blossoms) and ""春日"" (spring). The characters on the bottom right are ""春日暖阳"" (warm spring sun)."
7c93753ae77b480387ebf364d241dc31.jpg,"sketching, romanticism, portraiture",62.872066497802734,6.077247619628906,5.411737442016602,6.293778896331787,5.897590160369873,,4.928888320922852,6.911053657531738,5.160815715789795,6.127336025238037,5.237800598144531,"The visuals are incomplete, they are too flashy, and the basic order and relationships are quite chaotic",0,0,0,0,0,0,0,1,1,1,0,0,0,20.0,2.2222222222222223,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_7.jpg,"This image is a pencil sketch of a person's head and upper shoulders. The drawing appears to be a detailed study of the person's facial features and clothing. The person is wearing a collared shirt, and the sketch captures the texture and shading of the fabric. The overall style of the drawing is realistic, with careful attention to the contours and details of the face and clothing."
1a1101dedec24766bff247bb0b55c236.jpg,"oil painting, romanticism, portraiture",41.892361640930176,5.114128112792969,4.9039411544799805,4.231976509094238,3.9279541969299316,,4.25980281829834,4.752224922180176,3.8126747608184814,4.6348748207092285,4.3310089111328125,"The overall color scheme is disharmonious, the brushstrokes are casual, and the portrayal techniques are immature.",0,0,0,0,0,0,1,1,1,0,0,0,0,21.86,2.428888888888889,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_8.jpg,"The image is a colorful painting featuring a woman in a flowing dress. The dress is composed of various vibrant colors, including red, yellow, purple, and white. The woman is depicted in profile, facing to the right, and she is wearing a green hat. The background is a bright blue, and there is a reflection of the woman on the water below, which is also painted in bright colors. On the right side of the image, there are Chinese characters written vertically."
f56bf4eaf84d49c18e719f8a1d5c1870.jpg,"sketching, romanticism, still life",69.4483470916748,6.828953742980957,7.0403547286987305,6.598307132720947,6.996605396270752,,6.585855960845947,6.726111888885498,6.412703514099121,6.4705281257629395,6.660233497619629,"The picture lacks composition, black, white, gray light and shadow, object shaping, and texture expression.",0,0,0,0,0,0,0,0,1,1,1,0,0,20.86,2.3177777777777777,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_9.jpg,"This image is a pencil sketch of a person wearing a headscarf or veil. The drawing style is reminiscent of the famous painting ""Mona Lisa"" by Leonardo da Vinci, with the subject's face partially obscured by the head covering. The background appears to be a landscape with trees and possibly a body of water. The overall tone of the sketch is monochromatic, using various shades of gray to create depth and texture."
72c477227b5d47d3a23e46f9f76ba0ee.jpg,"sketching, classicism, portraiture",45.19390106201172,5.187832832336426,4.838569641113281,4.879435062408447,5.063885688781738,,4.083748817443848,6.059892654418945,3.6388020515441895,4.156077861785889,3.95283579826355,"The character portrayal is somewhat rigid, and the expression of light and shadow on the face is disorganized, lacking detailed depiction and texture expression",1,0,0,0,0,0,0,1,0,1,0,0,0,22.83,2.536666666666666,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_big/img_big_10.jpg,"The image is a pencil sketch of a person's head and shoulders. The drawing appears to be a detailed representation of the person's features, including the hair, face, and neck. The person has short hair and is looking slightly to the right. The sketch is done in a realistic style, with shading and lines that give depth and dimension to the drawing."
