filename,Artistic Categories,Total aesthetic score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood,Language Comment,classicism,floral and avian,freehand,landscapes,meticulous,mountains and water,oil painting,portraiture,romanticism,sketching,still life,symbolism,traditional Chinese painting,Total Score,Avg Score,generated_filename,Description
d30e5b8536544cec8704b1f7694938aa.jpg,"sketching, romanticism, portraiture",64.40308094024658,5.033285140991211,6.478057384490967,6.54636287689209,6.443303108215332,,5.384134769439697,5.095636367797852,5.426138401031494,6.018849849700928,5.721461296081543,"The overall meaning to be expressed in the picture can be seen, but the picture is incomplete, only superficial, and the rhythm is rough.",0,0,0,0,0,0,0,1,1,1,0,0,0,15.57,1.73,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_0.jpg,"This image is a pencil sketch of a bottle. The drawing is done with various lines and shading techniques, giving it a textured and dynamic appearance. The bottle is depicted with multiple intersecting lines, creating a sense of depth and movement. The background consists of a series of diagonal lines that add to the overall complexity of the drawing."
a515b053f9a04bea8cd3339fe54caaee.jpg,"sketching, romanticism, portraiture",52.2401762008667,4.9345808029174805,4.9394073486328125,5.207086563110352,5.2726240158081055,,4.006192684173584,6.124048709869385,4.62441873550415,4.819598197937012,3.802166223526001,"The creative feeling is innovative, but other expressions and relationship handling are not expressed,",0,0,0,0,0,0,0,1,1,1,0,0,0,15.999999999999998,1.7777777777777777,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_1.jpg,"This image is a pencil sketch of a person. The drawing appears to be a portrait, showing the person's head and upper shoulders. The person has long hair tied back, and the sketch captures details such as the ear, neck, and part of the shoulder. The style of the drawing is realistic, with shading and lines used to create depth and texture."
29d8a1f961e04979a4e87e5eeee32b36.jpg,"sketching, romanticism, landscapes",43.12565803527832,4.509660720825195,4.721248626708984,4.291783332824707,4.36655855178833,,3.789477825164795,5.247718811035156,3.6752500534057617,4.630059719085693,4.3299736976623535,The lack of balance in composition makes the picture appear chaotic and disorganized. The lack of clear black and white contrast leads to a lack of visual focus in the image. The lines are rough and lack delicacy.,0,0,0,1,0,0,0,0,1,1,0,0,0,16.33,1.8144444444444443,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_2.jpg,"This image is a pencil sketch of a small, rustic building with a sloped roof. The structure appears to be made of wood and has a simple, utilitarian design. There are various objects around the building, including what looks like a large barrel or container, a smaller box-like object, and some other items that are not clearly defined. The scene has a somewhat rural or countryside feel to it."
f43d05bf8e8f4063a1c52a7c98a15495.png,"traditional Chinese painting, freehand, portraiture",43.74584197998047,5.3145294189453125,5.353320121765137,4.972885608673096,4.848726272583008,,3.9527642726898193,4.119076728820801,4.036418914794922,4.875639915466309,4.501433372497559,,0,0,1,0,0,0,0,1,0,0,0,0,1,13.16,1.4622222222222223,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_3.jpg,"The image is a black and white sketch of a person wearing a hard hat with a headlamp. The headlamp is prominently displayed on the front of the hard hat. The person appears to be wearing a jacket or coat, and the sketch style is somewhat abstract and expressive."
290f4fb6a759480eb5bfba2767b89bdc.jpg,"sketching, romanticism, landscapes",48.1665563583374,4.876649856567383,4.867409706115723,4.867921352386475,5.1531291007995605,,4.990519046783447,4.889580249786377,4.317895412445068,4.839033603668213,4.787498474121094,The lack of balance in composition makes the picture appear chaotic and disorganized. The lack of clear black and white contrast leads to a lack of visual focus in the image. The lines are rough and lack delicacy.,0,0,0,1,0,0,0,0,1,1,0,0,0,16.67,1.8522222222222224,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_4.jpg,"This image is a pencil drawing of a serene landscape. It features a large sun or moon in the sky, surrounded by a few birds flying. Below, there is a body of water, possibly a lake or sea, with gentle waves. In the foreground, there are some grasses and reeds, adding to the natural setting. The overall mood of the drawing is calm and peaceful."
d6307758b70b4f85858b32a534192192.png,"traditional Chinese painting, freehand, floral and avian",41.09201908111572,4.5901899337768555,4.527490615844727,3.870601177215576,3.208667516708374,,3.349281072616577,4.005969047546387,3.526473045349121,4.502988815307617,3.673198938369751,,0,1,1,0,0,0,0,0,0,0,0,0,1,15.0,1.6666666666666667,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_5.jpg,"The image appears to be a piece of abstract art. It features several circular shapes in shades of purple and blue, with some areas of the shapes appearing to be translucent. There are also some dark, brush-like strokes that seem to be part of the composition. In the top right corner, there is a red stamp with Chinese characters."
b10349db956e487f86bf130be7ab3369.png,"traditional Chinese painting, freehand, floral and avian",62.0130729675293,6.584557056427002,5.846749305725098,6.296802997589111,5.236482620239258,,4.909460544586182,6.244518756866455,5.780487060546875,6.504517078399658,6.211088180541992,,0,1,1,0,0,0,0,0,0,0,0,0,1,21.17,2.352222222222222,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_6.jpg,"The image is a piece of traditional Chinese calligraphy and painting. It features a curved branch with red flowers and small red berries. The branch is painted in black and white, with the flowers and berries in vibrant red. There are Chinese characters written on the image. The characters on the right side are ""梅花"" (plum blossoms) and ""春日"" (spring). The characters on the bottom right are ""春日暖阳"" (warm spring sun)."
7c93753ae77b480387ebf364d241dc31.jpg,"sketching, romanticism, portraiture",44.729270935058594,4.756180286407471,4.992710113525391,4.987728595733643,5.209144592285156,,4.249826431274414,6.558916091918945,3.9932050704956055,4.359784126281738,4.142502307891846,"The visuals are incomplete, they are too flashy, and the basic order and relationships are quite chaotic",0,0,0,0,0,0,0,1,1,1,0,0,0,20.0,2.2222222222222223,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_7.jpg,"This image is a pencil sketch of a person's head and upper shoulders. The drawing appears to be a detailed study of the person's facial features and clothing. The person is wearing a collared shirt, and the sketch captures the texture and shading of the fabric. The overall style of the drawing is realistic, with careful attention to the contours and details of the face and clothing."
1a1101dedec24766bff247bb0b55c236.jpg,"oil painting, romanticism, portraiture",42.78983116149902,5.3463239669799805,4.796023368835449,4.688401222229004,3.6850242614746094,,3.947749376296997,5.184457778930664,3.7264046669006348,4.4112443923950195,4.265955448150635,"The overall color scheme is disharmonious, the brushstrokes are casual, and the portrayal techniques are immature.",0,0,0,0,0,0,1,1,1,0,0,0,0,21.86,2.428888888888889,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_8.jpg,"The image is a colorful painting featuring a woman in a flowing dress. The dress is composed of various vibrant colors, including red, yellow, purple, and white. The woman is depicted in profile, facing to the right, and she is wearing a green hat. The background is a bright blue, and there is a reflection of the woman on the water below, which is also painted in bright colors. On the right side of the image, there are Chinese characters written vertically."
f56bf4eaf84d49c18e719f8a1d5c1870.jpg,"sketching, romanticism, still life",70.87918281555176,6.162016868591309,6.421292304992676,7.018500328063965,6.916411399841309,,6.403799533843994,6.101428031921387,6.403573036193848,6.557707786560059,5.905673980712891,"The picture lacks composition, black, white, gray light and shadow, object shaping, and texture expression.",0,0,0,0,0,0,0,0,1,1,1,0,0,20.86,2.3177777777777777,/home_cerberus/disk3/larissa.gomide/oficial/generated_oficial_small/img_small_9.jpg,"This image is a pencil sketch of a person wearing a headscarf or veil. The drawing style is reminiscent of the famous painting ""Mona Lisa"" by Leonardo da Vinci, with the subject's face partially obscured by the head covering. The background appears to be a landscape with trees and possibly a body of water. The overall tone of the sketch is monochromatic, using various shades of gray to create depth and texture."
